country_code,team,team_code,season,year,league_tier,league_games,league_points,group,group_games,group_points,lat,lon
UKR,FK Mariupol,FKM,2023/24,2023,,,,,,,47.1437044716836,37.5582718096774
UKR,FK Mariupol,FKM,2024/25,2024,,,,,,,47.1437044716836,37.5582718096774
UKR,FC Lviv,LVI,2018/19,2018,1,22,30,1,10,4,49.7747958198214,24.0276737589091
UKR,FC Lviv,LVI,2019/20,2019,1,22,20,2,10,4,49.7747958198214,24.0276737589091
UKR,FC Lviv,LVI,2020/21,2020,1,26,29,,,,49.7747958198214,24.0276737589091
UKR,FC Lviv,LVI,2021/22,2021,1,18,17,,,,49.7747958198214,24.0276737589091
UKR,FC Lviv,LVI,2022/23,2022,1,30,13,,,,49.7747958198214,24.0276737589091
UKR,FC Lviv,LVI,2023/24,2023,,,,,,,49.7747958198214,24.0276737589091
UKR,FC Lviv,LVI,2024/25,2024,,,,,,,49.7747958198214,24.0276737589091
UKR,Chornomorets Odessa,CHO,2018/19,2018,1,22,16,1,10,15,46.4803753126583,30.755449585558
UKR,Chornomorets Odessa,CHO,2019/20,2019,2,30,39,,,,46.4803753126583,30.755449585558
UKR,Chornomorets Odessa,CHO,2020/21,2020,2,30,61,,,,46.4803753126583,30.755449585558
UKR,Chornomorets Odessa,CHO,2021/22,2021,1,18,14,,,,46.4803753126583,30.755449585558
UKR,Chornomorets Odessa,CHO,2022/23,2022,1,30,35,,,,46.4803753126583,30.755449585558
UKR,Chornomorets Odessa,CHO,2023/24,2023,1,30,32,,,,46.4803753126583,30.755449585558
UKR,Chornomorets Odessa,CHO,2024/25,2024,1,30,23,,,,46.4803753126583,30.755449585558
UKR,Rukh Lviv,RUK,2018/19,2018,2,28,34,,,,49.7747958198214,24.0276737589091
UKR,Rukh Lviv,RUK,2019/20,2019,2,30,61,,,,49.7747958198214,24.0276737589091
UKR,Rukh Lviv,RUK,2020/21,2020,1,26,28,,,,49.7747958198214,24.0276737589091
UKR,Rukh Lviv,RUK,2021/22,2021,1,18,18,,,,49.7747958198214,24.0276737589091
UKR,Rukh Lviv,RUK,2022/23,2022,1,30,32,,,,49.7747958198214,24.0276737589091
UKR,Rukh Lviv,RUK,2023/24,2023,1,30,49,,,,49.7747958198214,24.0276737589091
UKR,Rukh Lviv,RUK,2024/25,2024,1,30,38,,,,49.7747958198214,24.0276737589091
UKR,Ingulets Petrove,INH,2018/19,2018,2,28,42,,,,48.3410481407313,33.2652383118377
UKR,Ingulets Petrove,INH,2019/20,2019,2,30,60,,,,48.3410481407313,33.2652383118377
UKR,Ingulets Petrove,INH,2020/21,2020,1,26,26,,,,48.3410481407313,33.2652383118377
UKR,Ingulets Petrove,INH,2021/22,2021,1,18,13,,,,48.3410481407313,33.2652383118377
UKR,Ingulets Petrove,INH,2022/23,2022,1,30,31,,,,48.3410481407313,33.2652383118377
UKR,Ingulets Petrove,INH,2023/24,2023,2,18,42,1,10,25,48.3410481407313,33.2652383118377
UKR,Ingulets Petrove,INH,2024/25,2024,1,30,24,,,,48.3410481407313,33.2652383118377
UKR,FK Minaj,MIN,2018/19,2018,3,27,49,,,,48.5899856037447,22.2581148789921
UKR,FK Minaj,MIN,2019/20,2019,2,30,62,,,,48.5899856037447,22.2581148789921
UKR,FK Minaj,MIN,2020/21,2020,1,26,18,,,,48.5899856037447,22.2581148789921
UKR,FK Minaj,MIN,2021/22,2021,1,18,10,,,,48.5899856037447,22.2581148789921
UKR,FK Minaj,MIN,2022/23,2022,1,30,36,,,,48.5899856037447,22.2581148789921
UKR,FK Minaj,MIN,2023/24,2023,1,30,25,,,,48.5899856037447,22.2581148789921
UKR,FK Minaj,MIN,2024/25,2024,2,14,16,2,10,14,48.5899856037447,22.2581148789921
UKR,NK Veres Rivne,VRS,2018/19,2018,3,27,41,,,,50.6162338315224,26.2408544633867
UKR,NK Veres Rivne,VRS,2019/20,2019,3,20,36,,,,50.6162338315224,26.2408544633867
UKR,NK Veres Rivne,VRS,2020/21,2020,2,30,36,,,,50.6162338315224,26.2408544633867
UKR,NK Veres Rivne,VRS,2021/22,2021,1,18,23,,,,50.6162338315224,26.2408544633867
UKR,NK Veres Rivne,VRS,2022/23,2022,1,30,31,,,,50.6162338315224,26.2408544633867
UKR,NK Veres Rivne,VRS,2023/24,2023,1,30,28,,,,50.6162338315224,26.2408544633867
UKR,NK Veres Rivne,VRS,2024/25,2024,1,30,36,,,,50.6162338315224,26.2408544633867
UKR,Metalist 1925 Kharkiv,M25,2018/19,2018,2,28,51,,,,49.9808161007557,36.261587522964
UKR,Metalist 1925 Kharkiv,M25,2019/20,2019,2,30,51,,,,49.9808161007557,36.261587522964
UKR,Metalist 1925 Kharkiv,M25,2020/21,2020,2,30,56,,,,49.9808161007557,36.261587522964
UKR,Metalist 1925 Kharkiv,M25,2021/22,2021,1,18,19,,,,49.9808161007557,36.261587522964
UKR,Metalist 1925 Kharkiv,M25,2022/23,2022,1,30,32,,,,49.9808161007557,36.261587522964
UKR,Metalist 1925 Kharkiv,M25,2023/24,2023,1,30,23,,,,49.9808161007557,36.261587522964
UKR,Metalist 1925 Kharkiv,M25,2024/25,2024,2,16,29,1,6,11,49.9808161007557,36.261587522964
UKR,FK Kryvbas Kryvyi Rig,KRV,2018/19,2018,3,27,51,,,,47.8951551691986,33.3926212414935
UKR,FK Kryvbas Kryvyi Rig,KRV,2019/20,2019,3,20,33,,,,47.8951551691986,33.3926212414935
UKR,FK Kryvbas Kryvyi Rig,KRV,2020/21,2020,3,22,50,,,,47.8951551691986,33.3926212414935
UKR,FK Kryvbas Kryvyi Rig,KRV,2021/22,2021,2,20,42,,,,47.8951551691986,33.3926212414935
UKR,FK Kryvbas Kryvyi Rig,KRV,2022/23,2022,1,30,41,,,,47.8951551691986,33.3926212414935
UKR,FK Kryvbas Kryvyi Rig,KRV,2023/24,2023,1,30,57,,,,47.8951551691986,33.3926212414935
UKR,FK Kryvbas Kryvyi Rig,KRV,2024/25,2024,1,30,47,,,,47.8951551691986,33.3926212414935
UKR,Metalist Kharkiv,MKH,2018/19,2018,,,,,,,49.9808161007557,36.261587522964
